Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Poecile carolinensis,Carolina Chickadee,0.8894,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
6.0,9.0,Poecile carolinensis,Carolina Chickadee,0.8725,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
9.0,12.0,Cardinalis cardinalis,Northern Cardinal,0.3186,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
15.0,18.0,Cardinalis cardinalis,Northern Cardinal,0.4527,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
27.0,30.0,Cardinalis cardinalis,Northern Cardinal,0.4001,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
30.0,33.0,Baeolophus bicolor,Tufted Titmouse,0.2980,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
33.0,36.0,Cardinalis cardinalis,Northern Cardinal,0.5795,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
36.0,39.0,Cardinalis cardinalis,Northern Cardinal,0.5157,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
39.0,42.0,Setophaga pinus,Pine Warbler,0.7387,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
63.0,66.0,Setophaga pinus,Pine Warbler,0.4495,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
78.0,81.0,Setophaga pinus,Pine Warbler,0.3784,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
102.0,105.0,Setophaga pinus,Pine Warbler,0.9863,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
108.0,111.0,Setophaga pinus,Pine Warbler,0.5885,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
123.0,126.0,Cardinalis cardinalis,Northern Cardinal,0.6802,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
129.0,132.0,Cardinalis cardinalis,Northern Cardinal,0.4799,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
132.0,135.0,Cardinalis cardinalis,Northern Cardinal,0.4618,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
135.0,138.0,Cardinalis cardinalis,Northern Cardinal,0.5064,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
141.0,144.0,Cardinalis cardinalis,Northern Cardinal,0.9331,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
144.0,147.0,Cardinalis cardinalis,Northern Cardinal,0.4842,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
147.0,150.0,Setophaga pinus,Pine Warbler,0.4192,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
150.0,153.0,Cardinalis cardinalis,Northern Cardinal,0.8606,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
153.0,156.0,Cardinalis cardinalis,Northern Cardinal,0.7170,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
159.0,162.0,Cardinalis cardinalis,Northern Cardinal,0.4632,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
165.0,168.0,Sialia sialis,Eastern Bluebird,0.9432,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
168.0,171.0,Cardinalis cardinalis,Northern Cardinal,0.9172,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
174.0,177.0,Cardinalis cardinalis,Northern Cardinal,0.3865,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
180.0,183.0,Cardinalis cardinalis,Northern Cardinal,0.6145,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
192.0,195.0,Poecile carolinensis,Carolina Chickadee,0.8516,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
201.0,204.0,Cardinalis cardinalis,Northern Cardinal,0.3135,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
204.0,207.0,Poecile carolinensis,Carolina Chickadee,0.4905,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
207.0,210.0,Poecile carolinensis,Carolina Chickadee,0.7201,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
207.0,210.0,Setophaga pinus,Pine Warbler,0.2570,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
210.0,213.0,Sialia sialis,Eastern Bluebird,0.4189,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
213.0,216.0,Poecile carolinensis,Carolina Chickadee,0.9262,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
243.0,246.0,Setophaga pinus,Pine Warbler,0.5145,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
252.0,255.0,Cardinalis cardinalis,Northern Cardinal,0.4412,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
270.0,273.0,Setophaga pinus,Pine Warbler,0.8013,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
276.0,279.0,Baeolophus bicolor,Tufted Titmouse,0.3999,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
279.0,282.0,Setophaga pinus,Pine Warbler,0.9134,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
282.0,285.0,Baeolophus bicolor,Tufted Titmouse,0.4847,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
285.0,288.0,Baeolophus bicolor,Tufted Titmouse,0.5496,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
288.0,291.0,Setophaga pinus,Pine Warbler,0.4238,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
291.0,294.0,Setophaga pinus,Pine Warbler,0.6867,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
294.0,297.0,Poecile carolinensis,Carolina Chickadee,0.6146,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260315_075102.wav
