Start (s),End (s),Scientific name,Common name,Confidence,File
54.0,57.0,Pseudacris crucifer,Spring Peeper,0.2690,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
99.0,102.0,Pseudacris crucifer,Spring Peeper,0.3471,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
183.0,186.0,Pseudacris crucifer,Spring Peeper,0.3305,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
186.0,189.0,Pseudacris crucifer,Spring Peeper,0.5068,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
189.0,192.0,Pseudacris crucifer,Spring Peeper,0.3894,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
192.0,195.0,Pseudacris crucifer,Spring Peeper,0.3794,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
195.0,198.0,Pseudacris crucifer,Spring Peeper,0.5042,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
198.0,201.0,Pseudacris crucifer,Spring Peeper,0.3539,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
216.0,219.0,Pseudacris crucifer,Spring Peeper,0.4988,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
219.0,222.0,Pseudacris crucifer,Spring Peeper,0.3726,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
222.0,225.0,Pseudacris crucifer,Spring Peeper,0.5494,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
231.0,234.0,Pseudacris crucifer,Spring Peeper,0.2768,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
252.0,255.0,Pseudacris crucifer,Spring Peeper,0.5418,D:\Bird_Anuran_ARUs\RE07\SMM2-23_20260310_034700.wav
