Start (s),End (s),Scientific name,Common name,Confidence,File
105.0,108.0,Zenaida macroura,Mourning Dove,0.8898,D:\Bird_Anuran_ARUs\IF06\SMM2-31_20260309_054600.wav
108.0,111.0,Zenaida macroura,Mourning Dove,0.7480,D:\Bird_Anuran_ARUs\IF06\SMM2-31_20260309_054600.wav
129.0,132.0,Zenaida macroura,Mourning Dove,0.6415,D:\Bird_Anuran_ARUs\IF06\SMM2-31_20260309_054600.wav
132.0,135.0,Strix varia,Barred Owl,0.3143,D:\Bird_Anuran_ARUs\IF06\SMM2-31_20260309_054600.wav
147.0,150.0,Zenaida macroura,Mourning Dove,0.5164,D:\Bird_Anuran_ARUs\IF06\SMM2-31_20260309_054600.wav
171.0,174.0,Zenaida macroura,Mourning Dove,0.6982,D:\Bird_Anuran_ARUs\IF06\SMM2-31_20260309_054600.wav
174.0,177.0,Zenaida macroura,Mourning Dove,0.4071,D:\Bird_Anuran_ARUs\IF06\SMM2-31_20260309_054600.wav
192.0,195.0,Strix varia,Barred Owl,0.4282,D:\Bird_Anuran_ARUs\IF06\SMM2-31_20260309_054600.wav
228.0,231.0,Zenaida macroura,Mourning Dove,0.7844,D:\Bird_Anuran_ARUs\IF06\SMM2-31_20260309_054600.wav
231.0,234.0,Zenaida macroura,Mourning Dove,0.5529,D:\Bird_Anuran_ARUs\IF06\SMM2-31_20260309_054600.wav
270.0,273.0,Zenaida macroura,Mourning Dove,0.4440,D:\Bird_Anuran_ARUs\IF06\SMM2-31_20260309_054600.wav
