Start (s),End (s),Scientific name,Common name,Confidence,File
75.0,78.0,Pseudacris crucifer,Spring Peeper,0.3079,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
81.0,84.0,Lithobates palustris,Pickerel Frog,0.3063,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
84.0,87.0,Lithobates palustris,Pickerel Frog,0.3112,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
96.0,99.0,Lithobates palustris,Pickerel Frog,0.5525,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
117.0,120.0,Lithobates palustris,Pickerel Frog,0.3761,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
126.0,129.0,Lithobates palustris,Pickerel Frog,0.2751,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
135.0,138.0,Lithobates palustris,Pickerel Frog,0.3364,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
138.0,141.0,Lithobates palustris,Pickerel Frog,0.3683,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
159.0,162.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.2768,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
225.0,228.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.2880,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
228.0,231.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.2521,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
291.0,294.0,Lithobates palustris,Pickerel Frog,0.2844,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260320_205600.wav
