Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Lithobates palustris,Pickerel Frog,0.2710,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
3.0,6.0,Pseudacris crucifer,Spring Peeper,0.2739,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
3.0,6.0,Lithobates palustris,Pickerel Frog,0.2699,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
9.0,12.0,Lithobates palustris,Pickerel Frog,0.4014,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
21.0,24.0,Pseudacris crucifer,Spring Peeper,0.2984,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
33.0,36.0,Pseudacris crucifer,Spring Peeper,0.2969,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
45.0,48.0,Lithobates palustris,Pickerel Frog,0.3800,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
48.0,51.0,Lithobates palustris,Pickerel Frog,0.3975,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
54.0,57.0,Lithobates palustris,Pickerel Frog,0.3371,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
57.0,60.0,Lithobates palustris,Pickerel Frog,0.6137,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
60.0,63.0,Pseudacris crucifer,Spring Peeper,0.2668,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
69.0,72.0,Pseudacris crucifer,Spring Peeper,0.3106,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
81.0,84.0,Pseudacris crucifer,Spring Peeper,0.5092,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
123.0,126.0,Pseudacris crucifer,Spring Peeper,0.3782,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
126.0,129.0,Lithobates palustris,Pickerel Frog,0.3526,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
126.0,129.0,Pseudacris crucifer,Spring Peeper,0.3340,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
129.0,132.0,Lithobates palustris,Pickerel Frog,0.6216,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
129.0,132.0,Pseudacris crucifer,Spring Peeper,0.2845,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
132.0,135.0,Lithobates palustris,Pickerel Frog,0.4375,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
135.0,138.0,Pseudacris crucifer,Spring Peeper,0.5925,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
144.0,147.0,Pseudacris crucifer,Spring Peeper,0.2865,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
150.0,153.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.4948,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
156.0,159.0,Lithobates palustris,Pickerel Frog,0.3882,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
159.0,162.0,Lithobates palustris,Pickerel Frog,0.5433,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
162.0,165.0,Lithobates palustris,Pickerel Frog,0.4419,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
165.0,168.0,Lithobates palustris,Pickerel Frog,0.4409,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
165.0,168.0,Pseudacris crucifer,Spring Peeper,0.4098,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
168.0,171.0,Lithobates palustris,Pickerel Frog,0.2662,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
171.0,174.0,Lithobates palustris,Pickerel Frog,0.4862,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
174.0,177.0,Lithobates palustris,Pickerel Frog,0.5687,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
177.0,180.0,Lithobates palustris,Pickerel Frog,0.5474,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
186.0,189.0,Lithobates palustris,Pickerel Frog,0.2776,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
207.0,210.0,Engine,Engine,0.2789,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
210.0,213.0,Engine,Engine,0.4167,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
213.0,216.0,Pseudacris crucifer,Spring Peeper,0.4301,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
219.0,222.0,Pseudacris crucifer,Spring Peeper,0.2534,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
228.0,231.0,Pseudacris crucifer,Spring Peeper,0.4584,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
231.0,234.0,Pseudacris crucifer,Spring Peeper,0.7643,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
231.0,234.0,Lithobates palustris,Pickerel Frog,0.2635,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
234.0,237.0,Pseudacris crucifer,Spring Peeper,0.3852,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
234.0,237.0,Lithobates palustris,Pickerel Frog,0.3587,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
240.0,243.0,Pseudacris crucifer,Spring Peeper,0.3552,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
243.0,246.0,Pseudacris crucifer,Spring Peeper,0.3570,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
246.0,249.0,Pseudacris crucifer,Spring Peeper,0.5105,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
246.0,249.0,Engine,Engine,0.3250,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
249.0,252.0,Pseudacris crucifer,Spring Peeper,0.4728,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
252.0,255.0,Pseudacris crucifer,Spring Peeper,0.4477,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
252.0,255.0,Lithobates palustris,Pickerel Frog,0.3174,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
255.0,258.0,Lithobates palustris,Pickerel Frog,0.3805,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
267.0,270.0,Lithobates palustris,Pickerel Frog,0.2725,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
270.0,273.0,Lithobates palustris,Pickerel Frog,0.4266,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
273.0,276.0,Lithobates palustris,Pickerel Frog,0.4617,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
276.0,279.0,Pseudacris crucifer,Spring Peeper,0.5499,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
279.0,282.0,Pseudacris crucifer,Spring Peeper,0.3894,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
282.0,285.0,Pseudacris crucifer,Spring Peeper,0.5511,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
291.0,294.0,Lithobates palustris,Pickerel Frog,0.4071,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
294.0,297.0,Pseudacris crucifer,Spring Peeper,0.2520,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
297.0,300.0,Pseudacris crucifer,Spring Peeper,0.3801,D:\Bird_Anuran_ARUs\RE06\SMM2-17_20260310_194800.wav
