Start (s),End (s),Scientific name,Common name,Confidence,File
72.0,75.0,Antrostomus carolinensis,Chuck-will's-widow,0.9798,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
75.0,78.0,Antrostomus carolinensis,Chuck-will's-widow,0.9280,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
81.0,84.0,Antrostomus carolinensis,Chuck-will's-widow,0.4457,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
90.0,93.0,Antrostomus carolinensis,Chuck-will's-widow,0.9978,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
93.0,96.0,Antrostomus carolinensis,Chuck-will's-widow,0.9973,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
96.0,99.0,Antrostomus carolinensis,Chuck-will's-widow,0.9033,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
99.0,102.0,Antrostomus carolinensis,Chuck-will's-widow,0.9806,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
102.0,105.0,Antrostomus carolinensis,Chuck-will's-widow,0.9111,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
105.0,108.0,Antrostomus carolinensis,Chuck-will's-widow,0.9940,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
108.0,111.0,Antrostomus carolinensis,Chuck-will's-widow,0.9937,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
114.0,117.0,Antrostomus carolinensis,Chuck-will's-widow,0.9908,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
117.0,120.0,Antrostomus carolinensis,Chuck-will's-widow,0.9969,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
246.0,249.0,Antrostomus carolinensis,Chuck-will's-widow,0.9987,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
249.0,252.0,Antrostomus carolinensis,Chuck-will's-widow,0.9977,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
252.0,255.0,Antrostomus carolinensis,Chuck-will's-widow,0.7233,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
255.0,258.0,Antrostomus carolinensis,Chuck-will's-widow,0.7323,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
264.0,267.0,Antrostomus carolinensis,Chuck-will's-widow,0.7000,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
267.0,270.0,Antrostomus carolinensis,Chuck-will's-widow,0.9543,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
273.0,276.0,Antrostomus carolinensis,Chuck-will's-widow,0.8888,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
276.0,279.0,Antrostomus carolinensis,Chuck-will's-widow,0.9974,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
288.0,291.0,Antrostomus carolinensis,Chuck-will's-widow,0.7498,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260402_030600.wav
