Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Corvus ossifragus,Fish Crow,0.2693,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
30.0,33.0,Antrostomus carolinensis,Chuck-will's-widow,0.9970,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
33.0,36.0,Antrostomus carolinensis,Chuck-will's-widow,0.9393,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
36.0,39.0,Antrostomus carolinensis,Chuck-will's-widow,0.9632,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
39.0,42.0,Antrostomus carolinensis,Chuck-will's-widow,0.8362,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
42.0,45.0,Antrostomus carolinensis,Chuck-will's-widow,0.4816,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
45.0,48.0,Antrostomus carolinensis,Chuck-will's-widow,0.9817,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
48.0,51.0,Antrostomus carolinensis,Chuck-will's-widow,0.9587,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
51.0,54.0,Antrostomus carolinensis,Chuck-will's-widow,0.8376,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
60.0,63.0,Antrostomus carolinensis,Chuck-will's-widow,0.3923,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
78.0,81.0,Antrostomus carolinensis,Chuck-will's-widow,0.6556,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
84.0,87.0,Antrostomus carolinensis,Chuck-will's-widow,0.9759,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
87.0,90.0,Antrostomus carolinensis,Chuck-will's-widow,0.9733,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
90.0,93.0,Antrostomus carolinensis,Chuck-will's-widow,0.9354,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
93.0,96.0,Antrostomus carolinensis,Chuck-will's-widow,0.9839,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
96.0,99.0,Antrostomus carolinensis,Chuck-will's-widow,0.9861,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
102.0,105.0,Antrostomus carolinensis,Chuck-will's-widow,0.2919,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
120.0,123.0,Antrostomus carolinensis,Chuck-will's-widow,0.8214,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
123.0,126.0,Antrostomus carolinensis,Chuck-will's-widow,0.9611,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
138.0,141.0,Antrostomus carolinensis,Chuck-will's-widow,0.2955,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
156.0,159.0,Antrostomus carolinensis,Chuck-will's-widow,0.7615,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
159.0,162.0,Antrostomus carolinensis,Chuck-will's-widow,0.9545,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
162.0,165.0,Antrostomus carolinensis,Chuck-will's-widow,0.9962,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
165.0,168.0,Antrostomus carolinensis,Chuck-will's-widow,0.9417,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
171.0,174.0,Antrostomus carolinensis,Chuck-will's-widow,0.5192,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
174.0,177.0,Antrostomus carolinensis,Chuck-will's-widow,0.6144,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
177.0,180.0,Antrostomus carolinensis,Chuck-will's-widow,0.5650,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
183.0,186.0,Antrostomus carolinensis,Chuck-will's-widow,0.4477,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
186.0,189.0,Antrostomus carolinensis,Chuck-will's-widow,0.2519,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
201.0,204.0,Antrostomus carolinensis,Chuck-will's-widow,0.4957,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
207.0,210.0,Antrostomus carolinensis,Chuck-will's-widow,0.3021,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
231.0,234.0,Antrostomus carolinensis,Chuck-will's-widow,0.8359,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
240.0,243.0,Antrostomus carolinensis,Chuck-will's-widow,0.8033,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
270.0,273.0,Antrostomus carolinensis,Chuck-will's-widow,0.3041,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260404_040800.wav
