Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Antrostomus carolinensis,Chuck-will's-widow,0.9397,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
3.0,6.0,Antrostomus carolinensis,Chuck-will's-widow,0.9695,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
6.0,9.0,Antrostomus carolinensis,Chuck-will's-widow,0.9837,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
9.0,12.0,Antrostomus carolinensis,Chuck-will's-widow,0.9872,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
12.0,15.0,Antrostomus carolinensis,Chuck-will's-widow,0.9522,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
15.0,18.0,Antrostomus carolinensis,Chuck-will's-widow,0.7139,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
24.0,27.0,Antrostomus carolinensis,Chuck-will's-widow,0.9691,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
27.0,30.0,Antrostomus carolinensis,Chuck-will's-widow,0.9964,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
30.0,33.0,Antrostomus carolinensis,Chuck-will's-widow,0.9978,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
33.0,36.0,Antrostomus carolinensis,Chuck-will's-widow,0.9976,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
36.0,39.0,Antrostomus carolinensis,Chuck-will's-widow,0.9986,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
39.0,42.0,Antrostomus carolinensis,Chuck-will's-widow,0.9982,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
42.0,45.0,Antrostomus carolinensis,Chuck-will's-widow,0.9993,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
45.0,48.0,Antrostomus carolinensis,Chuck-will's-widow,0.9865,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
48.0,51.0,Antrostomus carolinensis,Chuck-will's-widow,0.9984,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
51.0,54.0,Antrostomus carolinensis,Chuck-will's-widow,0.9986,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
54.0,57.0,Antrostomus carolinensis,Chuck-will's-widow,0.9962,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
57.0,60.0,Antrostomus carolinensis,Chuck-will's-widow,0.9976,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
60.0,63.0,Antrostomus carolinensis,Chuck-will's-widow,0.9991,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
63.0,66.0,Antrostomus carolinensis,Chuck-will's-widow,0.9992,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
66.0,69.0,Antrostomus carolinensis,Chuck-will's-widow,0.9993,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
69.0,72.0,Antrostomus carolinensis,Chuck-will's-widow,0.9983,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
72.0,75.0,Antrostomus carolinensis,Chuck-will's-widow,0.9982,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
75.0,78.0,Antrostomus carolinensis,Chuck-will's-widow,0.9959,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260427_192800.wav
