Start (s),End (s),Scientific name,Common name,Confidence,File
12.0,15.0,Strix varia,Barred Owl,0.3338,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260327_050100.wav
66.0,69.0,Lithobates palustris,Pickerel Frog,0.4866,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260327_050100.wav
123.0,126.0,Strix varia,Barred Owl,0.3276,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260327_050100.wav
180.0,183.0,Lithobates palustris,Pickerel Frog,0.3006,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260327_050100.wav
288.0,291.0,Strix varia,Barred Owl,0.2515,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260327_050100.wav
294.0,297.0,Lithobates palustris,Pickerel Frog,0.2957,D:\Bird_Anuran_ARUs\IF01\SMM2-27_20260327_050100.wav
