Start (s),End (s),Scientific name,Common name,Confidence,File
39.0,42.0,Hylocichla mustelina,Wood Thrush,0.3700,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260308_184600.wav
45.0,48.0,Hylocichla mustelina,Wood Thrush,0.3171,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260308_184600.wav
48.0,51.0,Hylocichla mustelina,Wood Thrush,0.2980,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260308_184600.wav
60.0,63.0,Hylocichla mustelina,Wood Thrush,0.7718,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260308_184600.wav
63.0,66.0,Hylocichla mustelina,Wood Thrush,0.5032,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260308_184600.wav
63.0,66.0,Cyanocitta cristata,Blue Jay,0.3144,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260308_184600.wav
243.0,246.0,Hylocichla mustelina,Wood Thrush,0.4392,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260308_184600.wav
243.0,246.0,Cyanocitta cristata,Blue Jay,0.2917,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260308_184600.wav
