Start (s),End (s),Scientific name,Common name,Confidence,File
48.0,51.0,Myiarchus crinitus,Great Crested Flycatcher,0.2542,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260427_002700.wav
51.0,54.0,Myiarchus crinitus,Great Crested Flycatcher,0.3955,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260427_002700.wav
57.0,60.0,Myiarchus crinitus,Great Crested Flycatcher,0.2552,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260427_002700.wav
60.0,63.0,Myiarchus crinitus,Great Crested Flycatcher,0.3919,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260427_002700.wav
