Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Sturnella magna,Eastern Meadowlark,0.4458,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260411_181500.wav
18.0,21.0,Spizella pusilla,Field Sparrow,0.3288,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260411_181500.wav
75.0,78.0,Sturnella magna,Eastern Meadowlark,0.6993,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260411_181500.wav
87.0,90.0,Sturnella magna,Eastern Meadowlark,0.2909,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260411_181500.wav
93.0,96.0,Sturnella magna,Eastern Meadowlark,0.2588,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260411_181500.wav
96.0,99.0,Engine,Engine,0.2512,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260411_181500.wav
135.0,138.0,Sturnella magna,Eastern Meadowlark,0.8380,D:\Bird_Anuran_ARUs\RE08\SMM2-30_20260411_181500.wav
