Start (s),End (s),Scientific name,Common name,Confidence,File
87.0,90.0,Strix varia,Barred Owl,0.4201,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260409_001200.wav
90.0,93.0,Strix varia,Barred Owl,0.8037,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260409_001200.wav
93.0,96.0,Strix varia,Barred Owl,0.6520,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260409_001200.wav
120.0,123.0,Strix varia,Barred Owl,0.7179,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260409_001200.wav
123.0,126.0,Strix varia,Barred Owl,0.6915,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260409_001200.wav
126.0,129.0,Strix varia,Barred Owl,0.6069,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260409_001200.wav
129.0,132.0,Strix varia,Barred Owl,0.7421,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260409_001200.wav
132.0,135.0,Strix varia,Barred Owl,0.3513,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260409_001200.wav
135.0,138.0,Strix varia,Barred Owl,0.4685,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260409_001200.wav
138.0,141.0,Strix varia,Barred Owl,0.8089,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260409_001200.wav
