Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Antrostomus carolinensis,Chuck-will's-widow,0.7670,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
18.0,21.0,Seiurus aurocapilla,Ovenbird,0.6753,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
24.0,27.0,Antrostomus carolinensis,Chuck-will's-widow,0.6892,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
33.0,36.0,Antrostomus carolinensis,Chuck-will's-widow,0.3652,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
36.0,39.0,Antrostomus carolinensis,Chuck-will's-widow,0.7468,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
42.0,45.0,Antrostomus carolinensis,Chuck-will's-widow,0.8659,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
45.0,48.0,Antrostomus carolinensis,Chuck-will's-widow,0.9953,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
54.0,57.0,Antrostomus carolinensis,Chuck-will's-widow,0.8776,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
57.0,60.0,Antrostomus carolinensis,Chuck-will's-widow,0.9923,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
60.0,63.0,Antrostomus carolinensis,Chuck-will's-widow,0.9881,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
63.0,66.0,Antrostomus carolinensis,Chuck-will's-widow,0.9005,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
66.0,69.0,Antrostomus carolinensis,Chuck-will's-widow,0.9925,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
75.0,78.0,Antrostomus carolinensis,Chuck-will's-widow,0.8631,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
78.0,81.0,Antrostomus carolinensis,Chuck-will's-widow,0.8263,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
84.0,87.0,Antrostomus carolinensis,Chuck-will's-widow,0.7017,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
90.0,93.0,Antrostomus carolinensis,Chuck-will's-widow,0.8349,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
96.0,99.0,Antrostomus carolinensis,Chuck-will's-widow,0.8989,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
99.0,102.0,Antrostomus carolinensis,Chuck-will's-widow,0.3423,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
102.0,105.0,Antrostomus carolinensis,Chuck-will's-widow,0.9843,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
105.0,108.0,Antrostomus carolinensis,Chuck-will's-widow,0.3797,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
111.0,114.0,Antrostomus carolinensis,Chuck-will's-widow,0.9142,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
114.0,117.0,Antrostomus carolinensis,Chuck-will's-widow,0.9473,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
126.0,129.0,Antrostomus carolinensis,Chuck-will's-widow,0.3565,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
129.0,132.0,Antrostomus carolinensis,Chuck-will's-widow,0.9945,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
135.0,138.0,Antrostomus carolinensis,Chuck-will's-widow,0.3883,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
147.0,150.0,Antrostomus carolinensis,Chuck-will's-widow,0.6636,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
162.0,165.0,Antrostomus carolinensis,Chuck-will's-widow,0.6180,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
168.0,171.0,Antrostomus carolinensis,Chuck-will's-widow,0.4617,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
177.0,180.0,Antrostomus carolinensis,Chuck-will's-widow,0.3870,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
180.0,183.0,Antrostomus carolinensis,Chuck-will's-widow,0.9735,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
186.0,189.0,Antrostomus carolinensis,Chuck-will's-widow,0.9758,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
192.0,195.0,Antrostomus carolinensis,Chuck-will's-widow,0.9861,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
195.0,198.0,Antrostomus carolinensis,Chuck-will's-widow,0.2979,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
207.0,210.0,Antrostomus carolinensis,Chuck-will's-widow,0.9159,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
240.0,243.0,Antrostomus carolinensis,Chuck-will's-widow,0.3854,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
252.0,255.0,Antrostomus carolinensis,Chuck-will's-widow,0.2624,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
279.0,282.0,Antrostomus carolinensis,Chuck-will's-widow,0.3176,D:\Bird_Anuran_ARUs\IF09\SMM2-34_20260417_222000.wav
