Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Corvus brachyrhynchos,American Crow,0.7211,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
15.0,18.0,Corvus brachyrhynchos,American Crow,0.5985,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
18.0,21.0,Corvus brachyrhynchos,American Crow,0.4818,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
21.0,24.0,Corvus brachyrhynchos,American Crow,0.4816,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
24.0,27.0,Corvus brachyrhynchos,American Crow,0.3460,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
27.0,30.0,Corvus brachyrhynchos,American Crow,0.4010,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
30.0,33.0,Corvus brachyrhynchos,American Crow,0.5908,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
33.0,36.0,Corvus brachyrhynchos,American Crow,0.8014,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
48.0,51.0,Corvus brachyrhynchos,American Crow,0.4344,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
87.0,90.0,Corvus brachyrhynchos,American Crow,0.8025,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
90.0,93.0,Corvus brachyrhynchos,American Crow,0.6268,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
93.0,96.0,Corvus brachyrhynchos,American Crow,0.3482,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
138.0,141.0,Engine,Engine,0.4898,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
147.0,150.0,Engine,Engine,0.2679,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
156.0,159.0,Engine,Engine,0.6459,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
177.0,180.0,Corvus brachyrhynchos,American Crow,0.2935,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
195.0,198.0,Corvus brachyrhynchos,American Crow,0.2958,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
213.0,216.0,Corvus brachyrhynchos,American Crow,0.5175,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
216.0,219.0,Corvus brachyrhynchos,American Crow,0.8468,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
219.0,222.0,Corvus brachyrhynchos,American Crow,0.7785,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
225.0,228.0,Corvus brachyrhynchos,American Crow,0.6220,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
237.0,240.0,Corvus brachyrhynchos,American Crow,0.3072,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
240.0,243.0,Corvus brachyrhynchos,American Crow,0.6325,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
243.0,246.0,Corvus brachyrhynchos,American Crow,0.8680,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
246.0,249.0,Corvus brachyrhynchos,American Crow,0.4999,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
252.0,255.0,Corvus brachyrhynchos,American Crow,0.5936,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
255.0,258.0,Corvus brachyrhynchos,American Crow,0.8869,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
258.0,261.0,Corvus brachyrhynchos,American Crow,0.7237,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
264.0,267.0,Corvus brachyrhynchos,American Crow,0.4563,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
267.0,270.0,Corvus brachyrhynchos,American Crow,0.3714,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
276.0,279.0,Corvus brachyrhynchos,American Crow,0.5870,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
279.0,282.0,Corvus brachyrhynchos,American Crow,0.9313,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
282.0,285.0,Corvus brachyrhynchos,American Crow,0.6845,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
291.0,294.0,Corvus brachyrhynchos,American Crow,0.4520,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
297.0,300.0,Corvus brachyrhynchos,American Crow,0.7045,D:\Bird_Anuran_ARUs\IF02\SMM2-26_20260428_182900.wav
