Start (s),End (s),Scientific name,Common name,Confidence,File
138.0,141.0,Strix varia,Barred Owl,0.2513,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
141.0,144.0,Strix varia,Barred Owl,0.3119,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
150.0,153.0,Strix varia,Barred Owl,0.6320,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
156.0,159.0,Strix varia,Barred Owl,0.7437,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
159.0,162.0,Strix varia,Barred Owl,0.4814,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
162.0,165.0,Strix varia,Barred Owl,0.5408,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
165.0,168.0,Strix varia,Barred Owl,0.3188,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
168.0,171.0,Strix varia,Barred Owl,0.5482,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
171.0,174.0,Strix varia,Barred Owl,0.4335,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
177.0,180.0,Strix varia,Barred Owl,0.9700,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
180.0,183.0,Strix varia,Barred Owl,0.9751,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
186.0,189.0,Strix varia,Barred Owl,0.7283,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
189.0,192.0,Strix varia,Barred Owl,0.4385,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
192.0,195.0,Strix varia,Barred Owl,0.2763,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
195.0,198.0,Strix varia,Barred Owl,0.2726,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
198.0,201.0,Strix varia,Barred Owl,0.9803,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
204.0,207.0,Strix varia,Barred Owl,0.2878,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
216.0,219.0,Strix varia,Barred Owl,0.3735,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
222.0,225.0,Strix varia,Barred Owl,0.9238,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
237.0,240.0,Strix varia,Barred Owl,0.2667,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
240.0,243.0,Strix varia,Barred Owl,0.4585,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
246.0,249.0,Strix varia,Barred Owl,0.3143,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
252.0,255.0,Strix varia,Barred Owl,0.5175,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
255.0,258.0,Strix varia,Barred Owl,0.5756,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
267.0,270.0,Strix varia,Barred Owl,0.4753,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
276.0,279.0,Strix varia,Barred Owl,0.4900,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
282.0,285.0,Strix varia,Barred Owl,0.3737,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
288.0,291.0,Strix varia,Barred Owl,0.2726,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
291.0,294.0,Strix varia,Barred Owl,0.2581,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
294.0,297.0,Strix varia,Barred Owl,0.3738,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260408_211200.wav
