Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Antrostomus carolinensis,Chuck-will's-widow,0.9837,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
3.0,6.0,Antrostomus carolinensis,Chuck-will's-widow,0.9855,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
6.0,9.0,Antrostomus carolinensis,Chuck-will's-widow,0.9978,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
9.0,12.0,Antrostomus carolinensis,Chuck-will's-widow,0.4681,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
12.0,15.0,Antrostomus carolinensis,Chuck-will's-widow,0.4344,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
15.0,18.0,Antrostomus carolinensis,Chuck-will's-widow,0.9890,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
18.0,21.0,Antrostomus carolinensis,Chuck-will's-widow,0.9878,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
21.0,24.0,Antrostomus carolinensis,Chuck-will's-widow,0.9111,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
24.0,27.0,Antrostomus carolinensis,Chuck-will's-widow,0.6628,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
27.0,30.0,Antrostomus carolinensis,Chuck-will's-widow,0.7867,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
30.0,33.0,Antrostomus carolinensis,Chuck-will's-widow,0.9925,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
33.0,36.0,Antrostomus carolinensis,Chuck-will's-widow,0.9980,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
39.0,42.0,Antrostomus carolinensis,Chuck-will's-widow,0.9965,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
42.0,45.0,Antrostomus carolinensis,Chuck-will's-widow,0.9948,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
45.0,48.0,Antrostomus carolinensis,Chuck-will's-widow,0.9941,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
48.0,51.0,Antrostomus carolinensis,Chuck-will's-widow,0.9974,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
51.0,54.0,Antrostomus carolinensis,Chuck-will's-widow,0.7236,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
57.0,60.0,Antrostomus carolinensis,Chuck-will's-widow,0.9939,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
60.0,63.0,Antrostomus carolinensis,Chuck-will's-widow,0.9958,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
63.0,66.0,Antrostomus carolinensis,Chuck-will's-widow,0.9917,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
66.0,69.0,Antrostomus carolinensis,Chuck-will's-widow,0.9759,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
69.0,72.0,Antrostomus carolinensis,Chuck-will's-widow,0.9125,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
75.0,78.0,Antrostomus carolinensis,Chuck-will's-widow,0.9885,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
78.0,81.0,Antrostomus carolinensis,Chuck-will's-widow,0.8741,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
81.0,84.0,Antrostomus carolinensis,Chuck-will's-widow,0.9833,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260419_212100.wav
