Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Sialia sialis,Eastern Bluebird,0.9991,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
9.0,12.0,Sialia sialis,Eastern Bluebird,0.9308,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
12.0,15.0,Pipilo erythrophthalmus,Eastern Towhee,0.4485,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
18.0,21.0,Sialia sialis,Eastern Bluebird,0.8137,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
21.0,24.0,Sialia sialis,Eastern Bluebird,0.2870,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
24.0,27.0,Sialia sialis,Eastern Bluebird,0.4147,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
27.0,30.0,Pipilo erythrophthalmus,Eastern Towhee,0.6469,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
33.0,36.0,Sialia sialis,Eastern Bluebird,0.5813,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
36.0,39.0,Pipilo erythrophthalmus,Eastern Towhee,0.3270,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
39.0,42.0,Sialia sialis,Eastern Bluebird,0.6283,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
45.0,48.0,Pipilo erythrophthalmus,Eastern Towhee,0.2905,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
51.0,54.0,Sialia sialis,Eastern Bluebird,0.2546,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
54.0,57.0,Sialia sialis,Eastern Bluebird,0.6533,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
57.0,60.0,Sialia sialis,Eastern Bluebird,0.5704,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
63.0,66.0,Sialia sialis,Eastern Bluebird,0.9724,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
66.0,69.0,Sialia sialis,Eastern Bluebird,0.8644,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
72.0,75.0,Sialia sialis,Eastern Bluebird,0.6122,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
75.0,78.0,Sialia sialis,Eastern Bluebird,0.6825,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
78.0,81.0,Sialia sialis,Eastern Bluebird,0.3051,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
81.0,84.0,Sialia sialis,Eastern Bluebird,0.7289,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
84.0,87.0,Sialia sialis,Eastern Bluebird,0.9681,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
87.0,90.0,Sialia sialis,Eastern Bluebird,0.9682,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
90.0,93.0,Sialia sialis,Eastern Bluebird,0.9809,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
93.0,96.0,Sialia sialis,Eastern Bluebird,0.4918,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
96.0,99.0,Sialia sialis,Eastern Bluebird,0.7469,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
99.0,102.0,Antrostomus carolinensis,Chuck-will's-widow,0.6683,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
102.0,105.0,Sialia sialis,Eastern Bluebird,0.7638,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
105.0,108.0,Sialia sialis,Eastern Bluebird,0.9588,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
108.0,111.0,Sialia sialis,Eastern Bluebird,0.2979,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
111.0,114.0,Sialia sialis,Eastern Bluebird,0.7930,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
114.0,117.0,Sialia sialis,Eastern Bluebird,0.9258,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
117.0,120.0,Sialia sialis,Eastern Bluebird,0.3759,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
120.0,123.0,Sialia sialis,Eastern Bluebird,0.8381,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
126.0,129.0,Sialia sialis,Eastern Bluebird,0.4015,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
129.0,132.0,Sialia sialis,Eastern Bluebird,0.9642,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
132.0,135.0,Sialia sialis,Eastern Bluebird,0.6920,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
135.0,138.0,Sialia sialis,Eastern Bluebird,0.8363,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
138.0,141.0,Sialia sialis,Eastern Bluebird,0.9794,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
144.0,147.0,Sialia sialis,Eastern Bluebird,0.6980,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
150.0,153.0,Sialia sialis,Eastern Bluebird,0.8608,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
156.0,159.0,Pipilo erythrophthalmus,Eastern Towhee,0.3951,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
159.0,162.0,Pipilo erythrophthalmus,Eastern Towhee,0.3666,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
162.0,165.0,Pipilo erythrophthalmus,Eastern Towhee,0.4848,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
177.0,180.0,Cardinalis cardinalis,Northern Cardinal,0.2728,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
180.0,183.0,Pipilo erythrophthalmus,Eastern Towhee,0.4127,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
183.0,186.0,Pipilo erythrophthalmus,Eastern Towhee,0.2766,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
195.0,198.0,Setophaga pinus,Pine Warbler,0.4650,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
198.0,201.0,Setophaga pinus,Pine Warbler,0.5838,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
216.0,219.0,Sialia sialis,Eastern Bluebird,0.2888,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
228.0,231.0,Sialia sialis,Eastern Bluebird,0.2924,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
231.0,234.0,Pipilo erythrophthalmus,Eastern Towhee,0.2607,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
237.0,240.0,Setophaga pinus,Pine Warbler,0.8444,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
243.0,246.0,Hylocichla mustelina,Wood Thrush,0.2763,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
255.0,258.0,Contopus virens,Eastern Wood-Pewee,0.3986,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
288.0,291.0,Setophaga pinus,Pine Warbler,0.7036,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
291.0,294.0,Pipilo erythrophthalmus,Eastern Towhee,0.3548,D:\Bird_Anuran_ARUs\IF05\SMM2-22_20260407_051000.wav
