Start (s),End (s),Scientific name,Common name,Confidence,File
582.0,585.0,Pseudacris crucifer,Spring Peeper,0.5990,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
609.0,612.0,Pseudacris crucifer,Spring Peeper,0.3412,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
696.0,699.0,Strix varia,Barred Owl,0.7558,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
789.0,792.0,Pseudacris crucifer,Spring Peeper,0.3313,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
792.0,795.0,Pseudacris crucifer,Spring Peeper,0.3219,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
795.0,798.0,Pseudacris crucifer,Spring Peeper,0.2764,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
954.0,957.0,Pseudacris crucifer,Spring Peeper,0.3025,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
1296.0,1299.0,Pseudacris crucifer,Spring Peeper,0.3458,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
1449.0,1452.0,Pseudacris crucifer,Spring Peeper,0.3869,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
1542.0,1545.0,Pseudacris crucifer,Spring Peeper,0.4854,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
1566.0,1569.0,Strix varia,Barred Owl,0.2581,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
1584.0,1587.0,Pseudacris crucifer,Spring Peeper,0.5989,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
1761.0,1764.0,Strix varia,Barred Owl,0.2550,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
1836.0,1839.0,Pseudacris crucifer,Spring Peeper,0.2681,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
2289.0,2292.0,Strix varia,Barred Owl,0.3204,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
2925.0,2928.0,Engine,Engine,0.3955,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
2934.0,2937.0,Engine,Engine,0.2656,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
2946.0,2949.0,Engine,Engine,0.3970,D:\Bird_Anuran_ARUs\IF07\SMM2-32_20260303_201802.wav
