Start (s),End (s),Scientific name,Common name,Confidence,File
42.0,45.0,Lithobates palustris,Pickerel Frog,0.2993,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
45.0,48.0,Lithobates palustris,Pickerel Frog,0.4136,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
54.0,57.0,Lithobates palustris,Pickerel Frog,0.5330,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
57.0,60.0,Lithobates palustris,Pickerel Frog,0.5462,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
60.0,63.0,Lithobates palustris,Pickerel Frog,0.2635,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
69.0,72.0,Strix varia,Barred Owl,0.2593,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
108.0,111.0,Lithobates palustris,Pickerel Frog,0.6563,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
120.0,123.0,Lithobates palustris,Pickerel Frog,0.3106,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
123.0,126.0,Lithobates palustris,Pickerel Frog,0.4779,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
126.0,129.0,Lithobates palustris,Pickerel Frog,0.3471,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
132.0,135.0,Lithobates palustris,Pickerel Frog,0.3208,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
216.0,219.0,Lithobates palustris,Pickerel Frog,0.4255,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
219.0,222.0,Lithobates palustris,Pickerel Frog,0.5727,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
222.0,225.0,Lithobates palustris,Pickerel Frog,0.3871,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
228.0,231.0,Lithobates palustris,Pickerel Frog,0.7401,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260316_025200.wav
