Start (s),End (s),Scientific name,Common name,Confidence,File
12.0,15.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.3836,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_224200.wav
21.0,24.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.5998,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_224200.wav
27.0,30.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.3328,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_224200.wav
33.0,36.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.2948,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_224200.wav
147.0,150.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.2624,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_224200.wav
162.0,165.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.3984,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_224200.wav
195.0,198.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.2598,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_224200.wav
