Start (s),End (s),Scientific name,Common name,Confidence,File
18.0,21.0,Pipilo erythrophthalmus,Eastern Towhee,0.3977,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
21.0,24.0,Myiarchus crinitus,Great Crested Flycatcher,0.3257,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
69.0,72.0,Pipilo erythrophthalmus,Eastern Towhee,0.6927,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
78.0,81.0,Pipilo erythrophthalmus,Eastern Towhee,0.3515,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
96.0,99.0,Pipilo erythrophthalmus,Eastern Towhee,0.2522,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
114.0,117.0,Pipilo erythrophthalmus,Eastern Towhee,0.3182,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
126.0,129.0,Pipilo erythrophthalmus,Eastern Towhee,0.7740,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
159.0,162.0,Pipilo erythrophthalmus,Eastern Towhee,0.5996,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
174.0,177.0,Pipilo erythrophthalmus,Eastern Towhee,0.6851,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
189.0,192.0,Pipilo erythrophthalmus,Eastern Towhee,0.6115,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
192.0,195.0,Myiarchus crinitus,Great Crested Flycatcher,0.3243,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
201.0,204.0,Pipilo erythrophthalmus,Eastern Towhee,0.3229,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
249.0,252.0,Pipilo erythrophthalmus,Eastern Towhee,0.7689,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
252.0,255.0,Pipilo erythrophthalmus,Eastern Towhee,0.7220,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
255.0,258.0,Pipilo erythrophthalmus,Eastern Towhee,0.8201,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
258.0,261.0,Pipilo erythrophthalmus,Eastern Towhee,0.3667,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
273.0,276.0,Pipilo erythrophthalmus,Eastern Towhee,0.5135,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
279.0,282.0,Pipilo erythrophthalmus,Eastern Towhee,0.2704,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
285.0,288.0,Pipilo erythrophthalmus,Eastern Towhee,0.3163,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
288.0,291.0,Pipilo erythrophthalmus,Eastern Towhee,0.8362,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
294.0,297.0,Pipilo erythrophthalmus,Eastern Towhee,0.4878,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
297.0,300.0,Pipilo erythrophthalmus,Eastern Towhee,0.5647,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260311_054800.wav
