Start (s),End (s),Scientific name,Common name,Confidence,File
87.0,90.0,Zenaida macroura,Mourning Dove,0.9673,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
99.0,102.0,Dryocopus pileatus,Pileated Woodpecker,0.7401,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
102.0,105.0,Dryocopus pileatus,Pileated Woodpecker,0.9645,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
105.0,108.0,Zenaida macroura,Mourning Dove,0.3473,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
108.0,111.0,Zenaida macroura,Mourning Dove,0.5277,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
108.0,111.0,Dryocopus pileatus,Pileated Woodpecker,0.5136,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
111.0,114.0,Dryocopus pileatus,Pileated Woodpecker,0.4515,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
135.0,138.0,Dryocopus pileatus,Pileated Woodpecker,0.6722,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
141.0,144.0,Zenaida macroura,Mourning Dove,0.7237,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
144.0,147.0,Dryocopus pileatus,Pileated Woodpecker,0.9731,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
159.0,162.0,Zenaida macroura,Mourning Dove,0.9816,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
162.0,165.0,Zenaida macroura,Mourning Dove,0.9650,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
204.0,207.0,Zenaida macroura,Mourning Dove,0.6404,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
207.0,210.0,Zenaida macroura,Mourning Dove,0.4919,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260304_174200.wav
