Start (s),End (s),Scientific name,Common name,Confidence,File
15.0,18.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.3125,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260303_194200.wav
21.0,24.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.2947,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260303_194200.wav
54.0,57.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.6673,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260303_194200.wav
60.0,63.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.2543,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260303_194200.wav
171.0,174.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.3521,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260303_194200.wav
174.0,177.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.6718,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260303_194200.wav
177.0,180.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.5297,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260303_194200.wav
192.0,195.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.2669,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260303_194200.wav
228.0,231.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.6547,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260303_194200.wav
231.0,234.0,Pseudacris brimleyi,Brimley's Chorus Frog,0.6413,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260303_194200.wav
