Start (s),End (s),Scientific name,Common name,Confidence,File
57.0,60.0,Lithobates palustris,Pickerel Frog,0.3980,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260327_050100.wav
132.0,135.0,Lithobates palustris,Pickerel Frog,0.5118,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260327_050100.wav
135.0,138.0,Lithobates palustris,Pickerel Frog,0.2868,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260327_050100.wav
141.0,144.0,Lithobates palustris,Pickerel Frog,0.3073,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260327_050100.wav
162.0,165.0,Lithobates palustris,Pickerel Frog,0.4124,D:\Bird_Anuran_ARUs\RE03\SMM2-19_20260327_050100.wav
