Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.3119,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
24.0,27.0,Pipilo erythrophthalmus,Eastern Towhee,0.2561,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
87.0,90.0,Melanerpes carolinus,Red-bellied Woodpecker,0.9753,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
90.0,93.0,Melanerpes carolinus,Red-bellied Woodpecker,0.8816,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
120.0,123.0,Melanerpes carolinus,Red-bellied Woodpecker,0.3186,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
132.0,135.0,Melanerpes carolinus,Red-bellied Woodpecker,0.2939,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
138.0,141.0,Melanerpes carolinus,Red-bellied Woodpecker,0.2736,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
177.0,180.0,Corvus brachyrhynchos,American Crow,0.6105,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
180.0,183.0,Melanerpes carolinus,Red-bellied Woodpecker,0.3382,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
207.0,210.0,Melanerpes carolinus,Red-bellied Woodpecker,0.7115,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
222.0,225.0,Setophaga pinus,Pine Warbler,0.7340,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
234.0,237.0,Setophaga pinus,Pine Warbler,0.3985,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
243.0,246.0,Setophaga pinus,Pine Warbler,0.6976,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
336.0,339.0,Setophaga pinus,Pine Warbler,0.6001,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
444.0,447.0,Engine,Engine,0.5576,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
447.0,450.0,Engine,Engine,0.6529,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
450.0,453.0,Engine,Engine,0.9506,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
462.0,465.0,Engine,Engine,0.8724,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
468.0,471.0,Engine,Engine,0.4797,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
483.0,486.0,Engine,Engine,0.3190,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
486.0,489.0,Engine,Engine,0.2984,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
537.0,540.0,Baeolophus bicolor,Tufted Titmouse,0.5446,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
888.0,891.0,Baeolophus bicolor,Tufted Titmouse,0.3744,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
963.0,966.0,Thryothorus ludovicianus,Carolina Wren,0.7020,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
966.0,969.0,Thryothorus ludovicianus,Carolina Wren,0.3304,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
969.0,972.0,Thryothorus ludovicianus,Carolina Wren,0.4933,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
987.0,990.0,Thryothorus ludovicianus,Carolina Wren,0.8643,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
990.0,993.0,Thryothorus ludovicianus,Carolina Wren,0.6700,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
996.0,999.0,Thryothorus ludovicianus,Carolina Wren,0.6752,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
1128.0,1131.0,Setophaga pinus,Pine Warbler,0.2782,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
1143.0,1146.0,Setophaga pinus,Pine Warbler,0.2542,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
1188.0,1191.0,Colaptes auratus,Northern Flicker,0.3651,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
1209.0,1212.0,Setophaga pinus,Pine Warbler,0.7946,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260311_124102.wav
