Start (s),End (s),Scientific name,Common name,Confidence,File
141.0,144.0,Baeolophus bicolor,Tufted Titmouse,0.3018,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
207.0,210.0,Thryothorus ludovicianus,Carolina Wren,0.2937,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
222.0,225.0,Thryothorus ludovicianus,Carolina Wren,0.2878,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
228.0,231.0,Thryothorus ludovicianus,Carolina Wren,0.5270,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
231.0,234.0,Cardinalis cardinalis,Northern Cardinal,0.4194,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
237.0,240.0,Thryothorus ludovicianus,Carolina Wren,0.3435,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
246.0,249.0,Thryothorus ludovicianus,Carolina Wren,0.4620,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
252.0,255.0,Thryothorus ludovicianus,Carolina Wren,0.2701,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
261.0,264.0,Sialia sialis,Eastern Bluebird,0.2807,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
300.0,303.0,Thryothorus ludovicianus,Carolina Wren,0.4145,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
306.0,309.0,Sialia sialis,Eastern Bluebird,0.6622,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
312.0,315.0,Thryothorus ludovicianus,Carolina Wren,0.2762,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
336.0,339.0,Thryothorus ludovicianus,Carolina Wren,0.2512,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
342.0,345.0,Thryothorus ludovicianus,Carolina Wren,0.3366,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
342.0,345.0,Cardinalis cardinalis,Northern Cardinal,0.3268,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
354.0,357.0,Thryothorus ludovicianus,Carolina Wren,0.3442,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
354.0,357.0,Strix varia,Barred Owl,0.3212,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
360.0,363.0,Thryothorus ludovicianus,Carolina Wren,0.3342,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
375.0,378.0,Thryothorus ludovicianus,Carolina Wren,0.2551,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
387.0,390.0,Corvus brachyrhynchos,American Crow,0.3755,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
471.0,474.0,Setophaga pinus,Pine Warbler,0.8052,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
474.0,477.0,Setophaga pinus,Pine Warbler,0.9617,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
483.0,486.0,Setophaga pinus,Pine Warbler,0.9338,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
492.0,495.0,Setophaga pinus,Pine Warbler,0.9036,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
495.0,498.0,Setophaga pinus,Pine Warbler,0.8830,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
504.0,507.0,Setophaga pinus,Pine Warbler,0.9492,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
507.0,510.0,Setophaga pinus,Pine Warbler,0.9851,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
516.0,519.0,Setophaga pinus,Pine Warbler,0.9865,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
519.0,522.0,Setophaga pinus,Pine Warbler,0.9513,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
528.0,531.0,Setophaga pinus,Pine Warbler,0.9746,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
531.0,534.0,Setophaga pinus,Pine Warbler,0.8926,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
777.0,780.0,Pipilo erythrophthalmus,Eastern Towhee,0.3320,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
792.0,795.0,Sialia sialis,Eastern Bluebird,0.4391,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
813.0,816.0,Sialia sialis,Eastern Bluebird,0.3165,D:\Bird_Anuran_ARUs\RE05\SMM2-21_20260312_104102.wav
